Organisms,ASB14,ATP1B1,AXDND1,SMPDL3A,ARHGEF12,BLK,PRMT6,CD164L2,ANP32A
Rhincodon typus,2,1,1,2,1,1,1,1,3
Callorhinchus milii,2,1,1,2,2,2,1,1,3
Lepisosteus oculatus,2,1,1,2,2,2,1,1,4
Paramormyrops kingsleyae,4,2,1,2,3,3,1,1,4
Scleropages formosus,4,2,0,2,3,3,1,1,4
Clupea harengus,6,2,1,2,3,2,1,0,3
Ictalurus punctatus,5,2,1,2,3,2,1,1,3
Pygocentrus nattereri,4,2,1,3,3,2,1,1,3
Astyanax mexicanus,5,2,1,2,3,2,1,1,3
Cyprinus carpio,4,3,0,3,4,2,1,2,1
Danio rerio,8,2,0,2,4,2,1,1,2
Sinocyclocheilus grahami,5,4,1,4,5,4,2,2,3
Sinocyclocheilus rhinocerous,6,4,2,3,6,3,2,2,4
Sinocyclocheilus anshuiensis,6,4,2,3,6,4,2,2,4
Esox lucius,5,2,1,2,3,2,1,1,5
Salmo salar,5,4,1,3,5,3,1,2,12
Salvelinus alpinus,4,2,1,2,6,2,1,0,9
Oncorhynchus tshawytscha,5,3,1,4,8,2,1,0,11
Oncorhynchus kisutch,4,2,1,2,6,2,1,1,5
Oncorhynchus mykiss,4,4,1,2,6,3,1,1,12
Boleophthalmus pectinirostris,6,2,1,4,2,2,1,1,3
Monopterus albus,4,2,1,2,3,2,1,1,5
Hippocampus comes,3,2,0,2,3,2,1,1,4
Notothenia coriiceps,3,1,1,1,3,2,1,1,3
Labrus bergylta,5,2,1,2,4,2,1,1,5
Larimichthys crocea,6,2,1,2,4,4,1,1,5
Takifugu rubripes,4,2,1,2,3,2,2,0,4
Lates calcarifer,5,2,1,2,3,2,1,0,5
Cynoglossus semilaevis,4,2,1,2,3,2,1,1,5
Paralichthys olivaceus,4,2,1,2,4,1,0,1,4
Seriola lalandi,5,2,1,2,4,2,1,1,5
Seriola dumerili,5,2,1,2,3,2,1,1,5
Acanthochromis polyacanthus,3,2,1,2,3,2,1,1,5
Stegastes partitus,5,2,1,2,3,2,1,1,5
Amphiprion ocellaris,5,2,1,2,3,2,1,1,5
Neolamprologus brichardi,2,2,1,2,3,2,1,1,5
Oreochromis niloticus,3,2,1,2,3,2,1,1,5
Haplochromis burtoni,3,2,1,2,3,2,1,1,5
Maylandia zebra,3,2,1,2,3,2,1,1,5
Pundamilia nyererei,3,2,1,2,3,2,1,0,5
Oryzias latipes,3,2,1,2,2,2,1,1,5
Oryzias melastigma,3,2,1,2,3,2,1,1,6
Nothobranchius furzeri,4,2,1,2,3,2,1,1,5
Kryptolebias marmoratus,4,2,1,2,4,2,1,1,5
Austrofundulus limnaeus,5,3,1,3,3,2,1,1,7
Fundulus heteroclitus,3,2,2,2,3,2,1,1,5
Cyprinodon variegatus,3,2,1,2,4,2,1,1,5
